  9809     SPring-8 14b2 
 Ni-K_Ni-foil_S  13.11.27 04:47 - 13.11.27 04:48
 Ni-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38767 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4486
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.25000  22.55000    -0.001270       0.01      4486
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   165.500   111.100
  27.70644  27.69889     0.010       950      1268
  27.70517  27.69756     0.010       953      1272
  27.70390  27.69613     0.010       956      1278
  27.70263  27.69473     0.010       953      1272
  27.70136  27.69337     0.010       958      1280
  27.70009  27.69212     0.010       956      1279
  27.69882  27.69097     0.010       953      1272
  27.69755  27.68985     0.010       957      1278
  27.69628  27.68865     0.010       952      1271
  27.69501  27.68728     0.010       959      1281
  27.69374  27.68585     0.010       961      1285
  27.69247  27.68445     0.010       958      1278
  27.69120  27.68312     0.010       961      1284
  27.68993  27.68188     0.010       956      1278
  27.68866  27.68074     0.010       957      1281
  27.68739  27.67962     0.010       960      1286
  27.68612  27.67839     0.010       959      1283
  27.68485  27.67701     0.010       963      1289
  27.68358  27.67558     0.010       962      1288
  27.68231  27.67420     0.010       963      1288
  27.68104  27.67289     0.010       958      1285
  27.67977  27.67169     0.010       959      1283
  27.67850  27.67056     0.010       963      1291
  27.67723  27.66943     0.010       965      1292
  27.67596  27.66817     0.010       964      1291
  27.67469  27.66677     0.010       968      1298
  27.67342  27.66534     0.010       962      1291
  27.67215  27.66396     0.010       963      1289
  27.67088  27.66266     0.010       966      1294
  27.66961  27.66147     0.010       964      1292
  27.66834  27.66035     0.010       965      1295
  27.66707  27.65921     0.010       969      1298
  27.66580  27.65790     0.010       970      1303
  27.66453  27.65648     0.010       968      1299
  27.66326  27.65506     0.010       965      1295
  27.66199  27.65370     0.010       967      1298
  27.66072  27.65242     0.010       967      1299
  27.65945  27.65124     0.010       968      1298
  27.65818  27.65013     0.010       974      1309
  27.65691  27.64897     0.010       971      1304
  27.65564  27.64765     0.010       969      1302
  27.65437  27.64623     0.010       972      1303
  27.65310  27.64483     0.010       968      1301
  27.65183  27.64348     0.010       971      1306
  27.65056  27.64222     0.010       973      1306
  27.64929  27.64106     0.010       974      1312
  27.64802  27.63994     0.010       978      1314
  27.64675  27.63875     0.010       968      1303
  27.64548  27.63740     0.010       974      1311
  27.64421  27.63597     0.010       973      1309
  27.64294  27.63458     0.010       969      1304
  27.64167  27.63323     0.010       977      1314
  27.64040  27.63199     0.010       975      1314
  27.63913  27.63085     0.010       970      1304
  27.63786  27.62973     0.010       972      1309
  27.63659  27.62851     0.010       972      1309
  27.63532  27.62713     0.010       977      1314
  27.63405  27.62570     0.010       973      1313
  27.63278  27.62431     0.010       976      1316
  27.63151  27.62299     0.010       982      1324
  27.63024  27.62177     0.010       980      1320
  27.62897  27.62065     0.010       979      1320
  27.62770  27.61953     0.010       982      1325
  27.62643  27.61828     0.010       974      1316
  27.62516  27.61690     0.010       977      1319
  27.62389  27.61547     0.010       983      1326
  27.62262  27.61410     0.010       982      1324
  27.62135  27.61279     0.010       981      1326
  27.62008  27.61158     0.010       982      1326
  27.61881  27.61046     0.010       983      1329
  27.61754  27.60932     0.010       982      1326
  27.61627  27.60804     0.010       981      1327
  27.61500  27.60663     0.010       982      1326
  27.61373  27.60521     0.010       987      1335
  27.61246  27.60384     0.010       986      1333
  27.61119  27.60254     0.010       985      1332
  27.60992  27.60136     0.010       988      1334
  27.60865  27.60024     0.010       980      1329
  27.60738  27.59908     0.010       983      1328
  27.60611  27.59776     0.010       989      1338
  27.60484  27.59635     0.010       989      1338
  27.60357  27.59494     0.010       990      1340
  27.60230  27.59358     0.010       989      1341
  27.60103  27.59232     0.010       991      1340
  27.59976  27.59116     0.010       988      1338
  27.59849  27.59005     0.010       985      1335
  27.59722  27.58888     0.010       990      1342
  27.59595  27.58755     0.010       995      1346
  27.59468  27.58613     0.010       989      1341
  27.59341  27.58472     0.010       997      1351
  27.59214  27.58337     0.010       991      1342
  27.59087  27.58212     0.010       986      1336
  27.58960  27.58097     0.010       991      1344
  27.58833  27.57985     0.010       994      1347
  27.58706  27.57865     0.010       992      1347
  27.58579  27.57728     0.010       994      1350
  27.58452  27.57585     0.010       992      1346
  27.58325  27.57446     0.010       993      1349
  27.58198  27.57313     0.010       989      1342
  27.58071  27.57189     0.010       984      1336
  27.57944  27.57075     0.010       967      1313
  27.57817  27.56963     0.010       981      1332
  27.57690  27.56839     0.010      1002      1360
  27.57563  27.56702     0.010      1002      1363
  27.57436  27.56559     0.010      1001      1360
  27.57309  27.56422     0.010       995      1353
  27.57182  27.56290     0.010       997      1357
  27.57055  27.56169     0.010       998      1355
  27.56928  27.56056     0.010       992      1351
  27.56801  27.55944     0.010       969      1319
  27.56674  27.55817     0.010       928      1262
  27.56547  27.55678     0.010       972      1322
  27.56420  27.55535     0.010      1012      1377
  27.56293  27.55397     0.010      1007      1373
  27.56166  27.55267     0.010      1011      1375
  27.56039  27.55148     0.010      1004      1368
  27.55912  27.55036     0.010      1012      1379
  27.55785  27.54921     0.010      1011      1378
  27.55658  27.54791     0.010      1005      1369
  27.55531  27.54649     0.010      1008      1376
